Scheme Type,Scheme Name,Actuals 2022-2023,Budget Estimates 2023-2024,Revised Estimates 2023-2024,Budget Estimates 2024-2025,Anomaly,Anomaly_Flag
Major Central Sector Schemes,Nutrient Based Subsidy,86122.23,44000.0,60300.0,45000.0,-1,Fraud
Major Central Sector Schemes,Scheme for promotion of flagging of merchant ships in India,1.12,3.25,1.5,2.5,1,Normal
Major Central Sector Schemes,Policy on Promotion of Organic Fertilizers,1.12,3.25,6.0,100.0,1,Normal
Major Central Sector Schemes,National Institutes of Pharmaceutical Education and Research (NIPERs),396.43,550.0,228.8,242.0,1,Normal
Major Central Sector Schemes,Jan Aushadhi Scheme,100.0,115.0,110.0,284.5,1,Normal
Major Central Sector Schemes,Development of Pharmaceutical Industry,31.02,115.0,110.0,284.5,1,Normal
Major Central Sector Schemes,Consumer Awareness Publicity and Price Monitoring,2.2,5.0,3.0,4.0,1,Normal
Major Central Sector Schemes,Development of Pharmaceutical Indsutry,0.68,1250.0,264.67,1300.0,1,Normal
Major Central Sector Schemes,Production Linked Incentive Schemes,1424.99,1200.0,1696.29,2143.0,1,Normal
Major Central Sector Schemes,Promotion of Research and Innovation in Pharma Med-Tech (PRIP),1424.99,1200.0,1.0,75.0,1,Normal
Major Central Sector Schemes,Regional Connectivity Scheme,1063.81,1244.07,850.0,502.0,1,Normal
Major Central Sector Schemes,Purchase of two new aircraft for Special Extra Section Flight operations.,39.31,0.01,850.0,502.0,1,Normal
Major Central Sector Schemes,Air India Asset Holding Limited (SPV),7200.0,0.01,850.0,502.0,1,Normal
Major Central Sector Schemes,Krishi Udaan Scheme,7200.0,0.01,0.01,0.01,1,Normal
Major Central Sector Schemes,Production Linked Incentive (PLI) Scheme for Drone and Drone Component,30.0,33.0,33.0,57.0,1,Normal
Major Central Sector Schemes,Research and Development,6.94,21.0,18.0,21.0,1,Normal
Major Central Sector Schemes,"Conservation, Safety and Infrastructure Development in Coal Mines",48.64,92.5,92.5,92.5,1,Normal
Major Central Sector Schemes,Agricultural Product Export Development Authority (APEDA),80.0,80.0,80.0,80.0,1,Normal
Major Central Sector Schemes,Marine Product Export Development Authority (MPEDA),92.5,100.0,110.0,110.0,1,Normal
Major Central Sector Schemes,Trade Infrastructure for Export Schemes (TIES),70.99,71.0,51.67,51.67,1,Normal
Major Central Sector Schemes,Duty Drawback Scheme,128.45,180.0,200.7,180.0,1,Normal
Major Central Sector Schemes,Tea Board,125.89,135.0,130.0,131.0,1,Normal
Major Central Sector Schemes,Coffee Board,228.29,226.2,226.2,226.2,1,Normal
Major Central Sector Schemes,Rubber Board,293.76,268.76,244.29,244.29,1,Normal
Major Central Sector Schemes,Spices Board,115.5,115.5,115.5,115.5,1,Normal
Major Central Sector Schemes,Market Access Initiative,190.0,200.0,250.0,200.0,1,Normal
Major Central Sector Schemes,National Export Insurance Account,906.0,200.0,250.0,200.0,1,Normal
Major Central Sector Schemes,Gems and Jewellery Sector,906.0,200.0,95.0,39.17,1,Normal
Major Central Sector Schemes,Investment in ECGC (Export Credit Guarantee Corporation),388.0,0.01,95.0,39.17,1,Normal
Major Central Sector Schemes,Interest Equalisation Scheme,3118.01,2932.0,3700.0,1700.0,1,Normal
Major Central Sector Schemes,Project Development Fund,3118.01,1.99,0.03,1700.0,1,Normal
Major Central Sector Schemes,Centre For Research on International Trade-CRIT (Centre for WTO Studies),26.93,41.0,41.0,45.0,1,Normal
Major Central Sector Schemes,Transport and Marketing Assistance (TMA) Scheme for specified agriculture products,538.55,0.01,41.0,0.01,1,Normal
Major Central Sector Schemes,"Footwear, Leather and Accessories Development Programme (FLADP)",120.66,250.0,250.0,250.0,1,Normal
Major Central Sector Schemes,Industrial Infrastructure Upgradation Scheme (IIUS),120.66,5.0,9.09,0.01,1,Normal
Major Central Sector Schemes,Price and Production Statistics,14.94,17.85,17.85,17.0,1,Normal
Major Central Sector Schemes,National Industrial Corridor Development and Implementation Trust (NICDIT),108.69,2000.0,150.0,500.0,1,Normal
Major Central Sector Schemes,Scheme for Investment Promotion,184.26,195.0,195.0,180.0,1,Normal
Major Central Sector Schemes,Fund of Funds,1425.0,1470.0,1470.0,1200.0,1,Normal
Major Central Sector Schemes,Credit Guarantee Fund,25.0,250.0,220.0,100.0,1,Normal
Major Central Sector Schemes,Startup India,44.21,30.0,45.61,0.01,1,Normal
Major Central Sector Schemes,Startup India Seed Fund Scheme (SISFS),140.0,160.0,160.0,175.0,1,Normal
Major Central Sector Schemes,Ease of Doing Business,10.89,10.0,9.5,10.0,1,Normal
Major Central Sector Schemes,Production Linked Incentive Scheme (PLI) for White Goods (ACs and LED Lights),3.54,65.0,64.99,298.02,1,Normal
Major Central Sector Schemes,Production Linked Incentive (PLI) Scheme for Toys,3.54,65.0,64.99,0.01,1,Normal
Major Central Sector Schemes,Production Linked Incentive (PLI) Scheme for Footwear and Leather Sector,3.54,65.0,64.99,0.01,1,Normal
Major Central Sector Schemes,North Eastern Industrial and Investment Promotion Policy (NEIPP),109.97,200.0,220.0,80.0,1,Normal
Major Central Sector Schemes,North East Industrial Development Scheme (NEIDS) 2017,164.99,400.0,400.0,400.0,1,Normal
Major Central Sector Schemes,Transport/Freight Subsidy Scheme,203.39,50.0,85.0,400.0,1,Normal
Major Central Sector Schemes,"Package for Special Catagory States for Jammu and Kashmir, Himachal Pradesh and Uttarakhand",9.08,8.0,5.0,0.01,1,Normal
Major Central Sector Schemes,"Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh",8.29,50.0,39.95,100.0,1,Normal
Major Central Sector Schemes,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017",8.29,250.0,350.51,567.0,1,Normal
Major Central Sector Schemes,Industrial Development of UT of Jammu and Kashmir,44.97,150.0,148.97,300.0,1,Normal
Major Central Sector Schemes,"Industrial Development of Ladakh, 2022",44.97,97.3,0.01,5.0,1,Normal
Major Central Sector Schemes,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,2637.5,1713.88,1755.22,1382.35,1,Normal
Major Central Sector Schemes,Postal Operation,1233.0,1144.31,1316.87,225.98,1,Normal
Major Central Sector Schemes,India Post Payments Bank,400.0,250.0,250.0,250.0,1,Normal
Major Central Sector Schemes,Human Resource Management,21.76,34.0,37.47,42.0,1,Normal
Major Central Sector Schemes,Estates Management,64.02,100.0,115.0,133.5,1,Normal
Major Central Sector Schemes,IT Modernization Project 2.0,64.02,100.0,115.0,748.02,1,Normal
Major Central Sector Schemes,Compensation to Service Providers for creation and augmentation of telecom infrastructure,53500.0,10400.0,2000.0,2000.0,1,Normal
Major Central Sector Schemes,Optical Fibre Cable based network for Defence Services,1367.66,2158.0,3751.74,2000.0,1,Normal
Major Central Sector Schemes,Domestic Industry Incentivisation Scheme,1367.66,915.0,514.52,1910.8,1,Normal
Major Central Sector Schemes,Wireless Planning and Coordination,65.97,756.42,129.21,300.0,1,Normal
Major Central Sector Schemes,Telecom Engineering Centre,1.24,12.0,0.8,0.17,1,Normal
Major Central Sector Schemes,Technology Development and Investment Promotion,16.55,12.0,0.8,0.17,1,Normal
Major Central Sector Schemes,Telecom Testing and Security Certification Centre,6.58,24.0,5.0,6.0,1,Normal
Major Central Sector Schemes,Telecom Computer Emergency Response Team(T-Cert),110.0,351.34,218.49,8.54,1,Normal
Major Central Sector Schemes,Central Equipments Identity Register (CEIR),13.0,351.34,218.49,8.54,1,Normal
Major Central Sector Schemes,Funding to BSNL for providing Telecom Connectivity for Amarnath Yatra,0.81,1.0,1.51,1.0,1,Normal
Major Central Sector Schemes,5G Connectivity Test Bed,7.18,5.56,5.95,2.92,1,Normal
Major Central Sector Schemes,Champion Services Sector Scheme,55.0,5.56,5.95,2.92,1,Normal
Major Central Sector Schemes,Production Linked Incentive (PLI) Scheme to Promote Telecom and Networking Products Manufacturing in India,39.22,5.56,5.95,2.92,1,Normal
Major Central Sector Schemes,Digital Intelligence Unit Project,39.22,220.0,50.0,85.0,1,Normal
Major Central Sector Schemes,Establishment of Satellite Gateway (Assistance to BSNL),39.22,220.0,1.05,85.0,1,Normal
Major Central Sector Schemes,Price Stabilisation Fund,0.01,0.01,0.01,0.01,1,Normal
Major Central Sector Schemes,CONFONET,29.26,29.4,67.0,42.0,1,Normal
Major Central Sector Schemes,Consumer Awareness (Advertising and Publicity),17.49,17.99,25.0,17.99,1,Normal
Major Central Sector Schemes,Consumer Protection Cell,5.38,7.6,8.6,8.0,1,Normal
Major Central Sector Schemes,Price Monitoring Structure,3.0,6.0,6.0,0.01,1,Normal
Major Central Sector Schemes,"Strengthening Consumer Forum, Consumer Counseling and Mediation",3.16,7.0,5.0,5.0,1,Normal
Major Central Sector Schemes,Bureau of Indian Standard,0.01,0.5,1.0,1.0,1,Normal
