Ministries/Departments,Head Of Expenditure,Detailed Head Of Expenditure,Actual 2021-2022 Total,Budget 2022-2023 Total,Revised 2022-2023 Total,Budget 2023-2024 Total,Anomaly,Anomaly_Flag
Atomic Energy,Feedstock,Total Feedstock,1080.02,1419.16,1374.3,50.23,1,Normal
Atomic Energy,Feedstock,Gross Budgetary Support,1200.0,1480.0,1560.0,1700.0,1,Normal
Atomic Energy,Feedstock,Less Recoveries,-119.98,-60.84,-185.7,-100.53,1,Normal
Atomic Energy,Heavy Water Pool Management,Total Heavy Water Pool Management,0.0,0.0,0.0,-100.53,1,Normal
Atomic Energy,Heavy Water Pool Management,Gross Budgetary Support,1450.0,1500.0,1500.0,1550.0,1,Normal
Atomic Energy,Heavy Water Pool Management,Less Receipts,-1450.0,-1500.0,-1500.0,-1550.0,1,Normal
Atomic Energy,Radiation and Isotopes Project (BRIT),Total Radiation and Isotopes Project (BRIT),27.14,38.71,98.71,44.14,1,Normal
Atomic Energy,Nuclear Power Projects,Total Nuclear Power Projects,78.39,294.39,1542.27,442.28,1,Normal
Atomic Energy,Nuclear Fuel Fabrication Projects,Total Nuclear Fuel Fabrication Projects,639.67,597.5,800.01,763.61,1,Normal
Atomic Energy,Atomic Energy Regulatory Board Expansion Project,Total Atomic Energy Regulatory Board Expansion Project,23.56,44.72,35.0,15.81,1,Normal
Atomic Energy,R&D projects of Variable Energy Cyclotron Centre (VECC),Total R&D projects of Variable Energy Cyclotron Centre (VECC),34.99,67.21,50.0,73.62,1,Normal
Atomic Energy,Research and Development Projects,Total Research and Development Projects,1256.3,963.02,969.97,839.68,1,Normal
Atomic Energy,Industries and Minerals Projects,Total Industries and Minerals Projects,79.0,109.0,183.3,85.25,1,Normal
Atomic Energy,Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,Total Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,430.82,660.0,400.0,515.5,1,Normal
Atomic Energy,Nuclear Fuel Inventory,Total Nuclear Fuel Inventory,-1732.1,388.29,203.57,515.5,1,Normal
Atomic Energy,Nuclear Fuel Inventory,Gross Budgetary Support,2101.08,2950.01,2691.77,3171.27,1,Normal
Atomic Energy,Nuclear Fuel Inventory,Less Receipts,-3833.18,-2561.72,-2488.2,-3339.53,1,Normal
Atomic Energy,Other Autonomous Bodies,Total Other Autonomous Bodies,2322.92,2958.1,3178.35,3140.4,1,Normal
Atomic Energy,Nuclear Power Corporation of India Limited (NPCIL),Total Nuclear Power Corporation of India Limited (NPCIL),8327.0,7288.77,6551.0,9410.0,1,Normal
Atomic Energy,Uranium Corporation of India Limited,Total Uranium Corporation of India Limited,0.0,12.35,0.0,0.0,1,Normal
Atomic Energy,Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI),Total Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI),550.0,272.0,200.0,200.0,1,Normal
Atomic Energy,Contribution to International Atomic Energy Agency,Total Contribution to International Atomic Energy Agency,35.08,55.0,55.0,55.0,1,Normal
Atomic Energy,Power,Total Power,-1667.28,537.75,1556.6,128.99,1,Normal
Atomic Energy,Industries,Total Industries,2791.25,576.28,3476.17,1276.9,1,Normal
Atomic Energy,Atomic Energy Research,Total Atomic Energy Research,6111.46,7257.91,7714.62,7618.13,1,Normal
Atomic Energy,Secretariat-Economic Services,Total Secretariat-Economic Services,59.5,68.4,77.58,72.97,1,Normal
Atomic Energy,Capital Outlay on Power Projects,Total Capital Outlay on Power Projects,568.4,1337.7,2160.28,3200.23,1,Normal
Atomic Energy,Capital Outlay on Atomic Energy Industries,Total Capital Outlay on Atomic Energy Industries,3398.72,3874.49,3835.8,3858.3,1,Normal
Atomic Energy,Capital Outlay on Atomic Energy Research,Total Capital Outlay on Atomic Energy Research,3014.21,2674.05,2345.62,2358.06,1,Normal
Atomic Energy,Capital Outlay on Other General Economic Services,Total Capital Outlay on Other General Economic Services,0.0,0.0,0.0,0.91,1,Normal
Atomic Energy,Loans for  Power Projects,Total Loans for  Power Projects,8337.0,6397.0,4799.0,6564.0,1,Normal
Atomic Energy,Electronics Corporation of India Limited,Total Electronics Corporation of India Limited,38.1,25.0,25.0,15.0,1,Normal
Atomic Energy,Indian Rare Earths Limited,Total Indian Rare Earths Limited,140.48,132.5,132.5,120.3,1,Normal
Atomic Energy,Uranium Corporation of India Limited,Total Uranium Corporation of India Limited,44.72,166.17,31.82,59.82,1,Normal
Atomic Energy,Bharatiya Nabhikiya Vidyut Nigam Limited,Total Bharatiya Nabhikiya Vidyut Nigam Limited,550.0,272.46,201.0,201.0,1,Normal
Atomic Energy,Nuclear Power Corporation of India Limited,Total Nuclear Power Corporation of India Limited,17214.0,18802.77,17288.0,22273.0,1,Normal
Cabinet,Secretariat assistance to Ex-Governors,Total Secretariat assistance to Ex-Governors,1.8,1.8,1.8,22273.0,1,Normal
Cabinet,Council of Ministers,Total Council of Ministers,536.77,798.65,545.54,22273.0,1,Normal
Cabinet,Cabinet Secretariat,Total Cabinet Secretariat,66.7,65.0,69.76,22273.0,1,Normal
Cabinet,National Security Council Secretariat,Total National Security Council Secretariat,232.71,175.0,185.7,22273.0,1,Normal
Cabinet,Office of Principal Scientific Advisor,Total Office of Principal Scientific Advisor,300.0,72.92,96.85,22273.0,1,Normal
Cabinet,Prime Minister's Office,Total Prime Minister's Office,58.15,57.0,62.65,22273.0,1,Normal
Cabinet,Hospitality and Entertainment Expenses,Total Hospitality and Entertainment Expenses,6.09,6.14,6.88,22273.0,1,Normal
Cabinet,"President, Vice President/Governor, Administrator of Union Territories","Total President, Vice President/Governor, Administrator of Union Territories",1.8,1.8,1.8,22273.0,1,Normal
Cabinet,Council of Ministers,Total Council of Ministers,1194.33,1168.57,960.5,22273.0,1,Normal
Cabinet,Other Administrative Services,Total Other Administrative Services,6.09,6.14,6.88,22273.0,1,Normal
Cabinet,Capital Outlay on Other Administrative Services,Total Capital Outlay on Other Administrative Services,0.0,0.0,0.0,22273.0,1,Normal
Cabinet,Capital Outlay on Miscellaneous General Services,Total Capital Outlay on Miscellaneous General Services,0.0,0.0,0.0,22273.0,1,Normal
Capital Outlay on Defence Services,Land-Army,Total Land-Army,403.93,580.0,394.47,291.0,1,Normal
Capital Outlay on Defence Services,Construction Works-Army,Total Construction Works-Army,4488.68,5596.41,5125.02,6788.54,1,Normal
Capital Outlay on Defence Services,Aircrafts and Aeroengines-Army,Total Aircrafts and Aeroengines-Army,2113.31,2070.0,3565.0,5500.0,1,Normal
Capital Outlay on Defence Services,Heavy and Medium Vehicles,Total Heavy and Medium Vehicles,1508.17,1817.17,2385.0,3000.0,1,Normal
Capital Outlay on Defence Services,Other equipment-Army,Total Other equipment-Army,16532.0,21721.68,20885.0,21300.0,1,Normal
Capital Outlay on Defence Services,Rolling Stock,Total Rolling Stock,48.73,100.0,120.0,163.0,1,Normal
Capital Outlay on Defence Services,Rashtriya Rifles,Total Rashtriya Rifles,28.9,100.0,95.0,100.0,1,Normal
Capital Outlay on Defence Services,National Cadet Corps,Total National Cadet Corps,6.48,13.0,6.0,13.0,1,Normal
Capital Outlay on Defence Services,Ex-Servicemen Contributory Health Scheme,Total Ex-Servicemen Contributory Health Scheme,1.2,17.0,22.0,86.0,1,Normal
Capital Outlay on Defence Services,Military Farms,Total Military Farms,-0.46,0.0,0.0,0.0,1,Normal
Capital Outlay on Defence Services,Land-Navy,Total Land-Navy,36.62,17.0,30.0,1550.9,1,Normal
Capital Outlay on Defence Services,Construction Works-Navy,Total Construction Works-Navy,1413.06,1056.31,1856.31,1900.1,1,Normal
Capital Outlay on Defence Services,Aircrafts and Aeroengines,Total Aircrafts and Aeroengines,7330.71,5925.94,7500.0,7000.0,1,Normal
Capital Outlay on Defence Services,Heavy and Medium Vehicles,Total Heavy and Medium Vehicles,9.88,30.0,50.0,90.0,1,Normal
Capital Outlay on Defence Services,Other equipment-Navy,Total Other equipment-Navy,6691.5,6000.0,8200.0,9500.0,1,Normal
Capital Outlay on Defence Services,Naval Fleet,Total Naval Fleet,24927.92,29452.0,24187.0,24200.0,1,Normal
Capital Outlay on Defence Services,Naval Dockyard/projects,Total Naval Dockyard/projects,4046.56,3842.06,4500.0,6725.0,1,Normal
Capital Outlay on Defence Services,Joint Staff,Total Joint Staff,572.38,1267.68,1403.72,1838.75,1,Normal
Capital Outlay on Defence Services,Land-Air Force,Total Land-Air Force,1.93,547.18,284.17,340.27,1,Normal
Capital Outlay on Defence Services,Construction Works-Air Force,Total Construction Works-Air Force,2181.41,2663.52,1995.85,2342.31,1,Normal
Capital Outlay on Defence Services,Aircrafts and Aeroengines-Air Force,Total Aircrafts and Aeroengines-Air Force,29930.29,18966.18,23713.03,15721.65,1,Normal
Capital Outlay on Defence Services,Heavy and Medium Vehicles-Air Force,Total Heavy and Medium Vehicles-Air Force,98.32,210.0,162.81,947.94,1,Normal
Capital Outlay on Defence Services,Other equipment-Air Force,Total Other equipment-Air Force,18946.56,32308.9,26624.12,36223.13,1,Normal
Capital Outlay on Defence Services,Special Projects,Total Special Projects,668.05,890.87,969.42,1561.79,1,Normal
Capital Outlay on Defence Services,Defence Ordnance Factories,Total Defence Ordnance Factories,196.59,0.0,1.5,5.0,1,Normal
Capital Outlay on Defence Services,Emergency Authorisation for newly created DPSUs,Total Emergency Authorisation for newly created DPSUs,2500.0,2500.0,2500.0,0.0,1,Normal
Capital Outlay on Defence Services,Research  and Development,Total Research  and Development,10263.45,11981.81,11981.81,12850.0,1,Normal
Capital Outlay on Defence Services,Inspection - Director General Quality Audit (DGQA),Total Inspection - Director General Quality Audit (DGQA),7.17,20.0,10.0,20.0,1,Normal
Capital Outlay on Defence Services,Projects of the Army,Total Projects of the Army,0.0,100.0,1.0,100.0,1,Normal
Capital Outlay on Defence Services,Projects of the Air Force,Total Projects of the Air Force,1390.63,1264.9,121.77,1131.62,1,Normal
Capital Outlay on Defence Services,Investment in Public Enterprises,Total Investment in Public Enterprises,1643.0,1310.0,1310.0,1310.0,1,Normal
Capital Outlay on Defence Services,Capital Outlay on Defence Services,Total Capital Outlay on Defence Services,137986.97,152369.61,150000.0,162600.0,-1,Fraud
Capital Outlay on Defence Services,Armoured Vehicles Nigam Limited,Total Armoured Vehicles Nigam Limited,310.14,282.0,282.0,290.0,1,Normal
Capital Outlay on Defence Services,Advanced Weapons and Equipment India Limited,Total Advanced Weapons and Equipment India Limited,347.74,226.0,226.0,225.0,1,Normal
Capital Outlay on Defence Services,Gliders India Limited,Total Gliders India Limited,3.86,7.0,7.0,2.0,1,Normal
Capital Outlay on Defence Services,India Optel Limited,Total India Optel Limited,24.82,8.0,8.0,6.0,1,Normal
Capital Outlay on Defence Services,Munitions India Limited,Total Munitions India Limited,696.55,577.0,577.0,580.0,1,Normal
Capital Outlay on Defence Services,Troop Comforts Limited,Total Troop Comforts Limited,7.04,7.0,7.0,7.0,1,Normal
Capital Outlay on Defence Services,Yantra India Limited,Total Yantra India Limited,252.85,203.0,203.0,200.0,1,Normal
Central Vigilance Commission,Central Vigilance Commission,Total Central Vigilance Commission,37.49,41.96,43.46,44.46,1,Normal
Central Vigilance Commission,Vigilance,Total Vigilance,37.49,41.96,43.46,43.21,1,Normal
Central Vigilance Commission,Capital Outlay on Other Administrative Services,Total Capital Outlay on Other Administrative Services,0.0,0.0,0.0,1.25,1,Normal
Defence Pensions,Pensions and other Retirement Benefits,Total Pensions and other Retirement Benefits,116778.86,119677.0,125257.45,1.25,-1,Fraud
Defence Pensions,Pensions and other Retirement Benefits,Army,100581.33,102808.0,107973.9,119300.45,-1,Fraud
Defence Pensions,Pensions and other Retirement Benefits,Navy,5765.76,5944.0,6162.0,6776.0,1,Normal
Defence Pensions,Pensions and other Retirement Benefits,Air Force,10431.77,10925.0,11121.55,12108.55,1,Normal
Defence Pensions,Transfer to Deposit Account- Arrear component of One Rank One Pension,Total Transfer to Deposit Account- Arrear component of One Rank One Pension,0.0,0.0,28137.49,0.0,1,Normal
Defence Pensions,"Rewards-Army, Navy and Air Force","Total Rewards-Army, Navy and Air Force",20.99,19.0,19.0,19.0,1,Normal
Defence Pensions,Service Charges to Banks,Total Service Charges to Banks,0.0,0.0,0.55,1.0,1,Normal
Defence Pensions,Pensions and other Retirement Benefits,Total Pensions and other Retirement Benefits,116799.85,119696.0,153414.49,138205.0,-1,Fraud
Defence Services (Revenue),Army,Total Army,158036.53,164897.77,174488.91,138205.0,-1,Fraud
Defence Services (Revenue),Army,Pay and Allowances of the Army,98535.49,107209.03,107209.03,108798.41,-1,Fraud
Defence Services (Revenue),Army,Pay and Allowances and miscellaneous expenses of Auxiliary Forces,2273.24,2243.33,2243.33,2449.0,1,Normal
Defence Services (Revenue),Army,Pay and Allowances of Civilians,6299.05,7254.95,7254.95,7641.64,1,Normal
Defence Services (Revenue),Army,Transportation,4055.93,4100.0,4760.0,4700.0,1,Normal
Defence Services (Revenue),Army,Military Farms,7.63,5.14,5.14,2.0,1,Normal
Defence Services (Revenue),Army,Ex-Servicemen Contributory Health Scheme,4870.75,3582.51,5429.07,5431.56,1,Normal
Defence Services (Revenue),Army,Inspection Director General Quality Audit (DGQA),966.71,1284.08,1338.29,1378.0,1,Normal
Defence Services (Revenue),Army,Stores,23359.53,20383.1,24106.1,23965.35,1,Normal
Defence Services (Revenue),Army,Works,8777.17,8765.65,10815.65,11510.0,1,Normal
Defence Services (Revenue),Army,Rashtriya Rifles,7605.86,9306.95,9127.95,9475.0,1,Normal
Defence Services (Revenue),Army,National Cadet Corps,1679.15,1956.43,2037.87,2763.12,1,Normal
Defence Services (Revenue),Army,Agnipath Scheme,0.0,0.0,350.0,3800.0,1,Normal
Defence Services (Revenue),Army,Other Expenditure,3297.76,3125.91,4370.84,5219.0,1,Normal
Defence Services (Revenue),Army,Less Revenue Receipts,-3691.74,-4319.31,-4559.31,-4483.11,1,Normal
Defence Services (Revenue),Navy,Total Navy,23834.99,25406.42,30734.58,-4483.11,1,Normal
Defence Services (Revenue),Navy,Pay and Allowances of the Navy,7756.01,9133.42,9053.42,8833.42,1,Normal
Defence Services (Revenue),Navy,Pay and Allowances of Civilians,2646.14,3524.7,3524.7,3941.24,1,Normal
Defence Services (Revenue),Navy,Transportaton,448.82,474.2,712.36,690.0,1,Normal
Defence Services (Revenue),Navy,Repairs and Refits,1650.94,1555.95,2070.0,2290.0,1,Normal
Defence Services (Revenue),Navy,Stores,6349.61,6053.93,9286.86,9220.84,1,Normal
Defence Services (Revenue),Navy,Works,1533.34,1454.46,1951.68,2088.44,1,Normal
Defence Services (Revenue),Navy,Joint Staff,3142.88,3194.67,4094.67,4221.7,1,Normal
Defence Services (Revenue),Navy,Agnipath Scheme,0.0,0.0,80.0,300.0,1,Normal
Defence Services (Revenue),Navy,Other Expenditure,898.78,765.09,1210.89,1448.56,1,Normal
Defence Services (Revenue),Navy,Less Revenue Receipts,-591.53,-750.0,-1250.0,-750.0,1,Normal
Defence Services (Revenue),Air Force,Total Air Force,34375.45,32873.46,44728.1,-750.0,-1,Fraud
Defence Services (Revenue),Air Force,Pay and Allowances of the Air Force,17318.07,18345.68,18910.9,20907.48,1,Normal
Defence Services (Revenue),Air Force,Pay and Allowances of Civilians,1603.66,1692.32,1686.24,1887.7,1,Normal
Defence Services (Revenue),Air Force,Transportation,799.04,1087.49,1096.52,1087.47,1,Normal
Defence Services (Revenue),Air Force,Stores,12757.24,9678.9,20322.96,17200.28,1,Normal
Defence Services (Revenue),Air Force,Works,2479.74,2508.26,2915.06,3296.5,1,Normal
Defence Services (Revenue),Air Force,Agnipath Scheme,0.0,0.0,23.4,166.14,1,Normal
Defence Services (Revenue),Air Force,Special Projects,0.0,0.01,0.01,0.01,1,Normal
Defence Services (Revenue),Air Force,Other Expenditure,730.18,860.8,1073.01,1100.0,1,Normal
Defence Services (Revenue),Air Force,Less Revenue Receipts,-1312.48,-1300.0,-1300.0,-1300.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Total Defence  Ordnance Factories,4284.41,474.5,400.5,-1300.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Direction and Administration,281.08,475.0,401.5,433.5,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Research and Development,41.91,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Maintenance - Machinery and Equipments,14.9,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Manufacture,3602.68,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Transportation,44.14,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Renewal and Replacement,142.21,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Stores,1877.46,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Works,77.48,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Tranfer to /from Renewal Reserve Fund-Renewal Reserve Fund Ordnance Factories,-142.21,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Other Expenditure,490.81,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,"Deduct - Recoveries for Supplies made to Army, Navy, Air Force etc",-1723.54,0.0,0.0,0.0,1,Normal
Defence Services (Revenue),Defence  Ordnance Factories,Less Revenue Receipts,-422.51,-0.5,-1.0,-7.0,1,Normal
Defence Services (Revenue),Research and Development,Total Research and Development,8027.55,9348.39,9148.39,-7.0,1,Normal
Defence Services (Revenue),Research and Development,Training,9.41,23.0,23.0,23.0,1,Normal
Defence Services (Revenue),Research and Development,Research /Research Development,387.57,593.37,560.0,814.0,1,Normal
Defence Services (Revenue),Research and Development,Pay and Allowances of  Service Personnel,528.57,530.0,588.0,636.0,1,Normal
Defence Services (Revenue),Research and Development,Pay and Allowances of Civilians,3377.53,3740.0,3682.0,3792.0,1,Normal
Defence Services (Revenue),Research and Development,Transportation,78.41,220.0,190.0,240.0,1,Normal
Defence Services (Revenue),Research and Development,Stores,2378.99,2889.0,2712.49,3233.89,1,Normal
Defence Services (Revenue),Research and Development,Works,1157.1,1148.02,1138.37,1370.0,1,Normal
Defence Services (Revenue),Research and Development,Other Expenditure,488.64,505.0,554.53,605.0,1,Normal
Defence Services (Revenue),Research and Development,Less Revenue Receipts,-378.67,-300.0,-300.0,-300.0,1,Normal
Defence Services (Revenue),Defence Services - Army,Total Defence Services - Army,158036.53,164897.77,174488.91,182649.97,-1,Fraud
Defence Services (Revenue),Defence Services - Navy,Total Defence Services - Navy,23834.99,25406.42,30734.58,32284.2,1,Normal
Defence Services (Revenue),Defence Services - Air Force,Total Defence Services - Air Force,34375.45,32873.46,44728.1,44345.58,-1,Fraud
Defence Services (Revenue),Defence Services - Ordnance Factories,Total Defence Services - Ordnance Factories,4284.41,474.5,400.5,426.5,1,Normal
Defence Services (Revenue),Defence Services - Research and Development,Total Defence Services - Research and Development,8027.55,9348.39,9148.39,10413.89,1,Normal
Department for Promotion of Industry and Internal Trade,Secretariat,Total Secretariat,114.18,114.36,188.16,202.1,1,Normal
Department for Promotion of Industry and Internal Trade,Intellectual Property,Total Intellectual Property,208.84,231.73,285.41,202.1,1,Normal
Department for Promotion of Industry and Internal Trade,Intellectual Property,Strengthening of Intellectual Property Appellate Board (IPAB),0.37,0.0,0.0,0.0,1,Normal
Department for Promotion of Industry and Internal Trade,Intellectual Property,Controller General of Patent Designs and Trademarks,194.06,207.95,232.65,281.6,1,Normal
Department for Promotion of Industry and Internal Trade,Intellectual Property,Copyright Office,0.67,0.0,0.0,0.0,1,Normal
Department for Promotion of Industry and Internal Trade,Intellectual Property,Intellectual Policy Rights (IPR) Policy Management,3.75,7.28,19.34,36.31,1,Normal
Department for Promotion of Industry and Internal Trade,Intellectual Property,Infrastructure Development in Controller General of Patents Designs and Trade Marks (IDCGPDTM),9.99,16.5,33.42,11.0,1,Normal
Department for Promotion of Industry and Internal Trade,Attached and Subordinate Offices,Total Attached and Subordinate Offices,94.68,105.91,100.18,11.0,1,Normal
Department for Promotion of Industry and Internal Trade,Attached and Subordinate Offices,Petroleum and Explosives Safety Organisation (PESO),58.67,66.16,60.02,65.0,1,Normal
Department for Promotion of Industry and Internal Trade,Attached and Subordinate Offices,Salt Commissioner,29.75,31.58,38.32,52.09,1,Normal
Department for Promotion of Industry and Internal Trade,Attached and Subordinate Offices,Tariff Commission,6.26,7.92,1.59,0.0,1,Normal
Department for Promotion of Industry and Internal Trade,Attached and Subordinate Offices,Survey of Boiler,0.0,0.25,0.25,0.25,1,Normal
Department for Promotion of Industry and Internal Trade,Indian Leather Development Programme (ILDP),Total Indian Leather Development Programme (ILDP),228.46,0.0,0.0,0.0,1,Normal
Department for Promotion of Industry and Internal Trade,"Footwear, Leather and Accessories Development Programme (FLADP)","Total Footwear, Leather and Accessories Development Programme (FLADP)",0.0,208.0,74.53,250.0,1,Normal
Department for Promotion of Industry and Internal Trade,Industrial Infrastructure Upgradation Scheme (IIUS),Total Industrial Infrastructure Upgradation Scheme (IIUS),2.71,5.08,5.08,5.0,1,Normal
Department for Promotion of Industry and Internal Trade,Price and Production Statistics,Total Price and Production Statistics,17.25,16.23,20.0,17.85,1,Normal
Department for Promotion of Industry and Internal Trade,National Industrial Corridor Development and Implementation Trust (NICDIT),Total National Industrial Corridor Development and Implementation Trust (NICDIT),859.1,1500.0,1500.0,2000.0,1,Normal
Department for Promotion of Industry and Internal Trade,"Exhibition-Cum-Convention Centre, Dwarka","Total Exhibition-Cum-Convention Centre, Dwarka",245.58,0.0,0.0,0.0,1,Normal
Department for Promotion of Industry and Internal Trade,Scheme for Investment Promotion,Total Scheme for Investment Promotion,202.47,189.0,189.0,195.0,1,Normal
Department for Promotion of Industry and Internal Trade,Fund of Funds,Total Fund of Funds,1330.0,1000.0,1189.02,1470.0,1,Normal
Department for Promotion of Industry and Internal Trade,Credit Guarantee Fund,Total Credit Guarantee Fund,0.0,0.0,25.0,250.0,1,Normal
Department for Promotion of Industry and Internal Trade,Startup India,Total Startup India,20.18,50.0,44.29,30.0,1,Normal
Department for Promotion of Industry and Internal Trade,Startup India Seed Fund Scheme (SISFS),Total Startup India Seed Fund Scheme (SISFS),100.0,283.5,140.0,160.0,1,Normal
Department for Promotion of Industry and Internal Trade,Ease of Doing Business,Total Ease of Doing Business,9.13,12.0,11.5,10.0,1,Normal
Department for Promotion of Industry and Internal Trade,Production Linked Incentive Scheme (PLI) for White Goods (ACs and LED Lights),Total Production Linked Incentive Scheme (PLI) for White Goods (ACs and LED Lights),1.18,3.54,3.54,65.0,1,Normal
Department for Promotion of Industry and Internal Trade,North Eastern Industrial and Investment Promotion Policy (NEIPP),Total North Eastern Industrial and Investment Promotion Policy (NEIPP),180.0,20.0,90.0,200.0,1,Normal
Department for Promotion of Industry and Internal Trade,North East Industrial Development Scheme (NEIDS) 2017,Total North East Industrial Development Scheme (NEIDS) 2017,30.0,150.0,165.0,400.0,1,Normal
Department for Promotion of Industry and Internal Trade,Transport/Freight Subsidy Scheme,Total Transport/Freight Subsidy Scheme,382.95,300.0,156.2,50.0,1,Normal
Department for Promotion of Industry and Internal Trade,"Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand","Total Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand",28.33,29.5,15.9,8.0,1,Normal
Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh","Total Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh",43.41,110.0,30.0,50.0,1,Normal
Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017","Total Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017",131.9,31.9,146.6,250.0,1,Normal
Department for Promotion of Industry and Internal Trade,Industrial Development of UT of Jammu and Kashmir,Total Industrial Development of UT of Jammu and Kashmir,1.79,150.0,75.0,150.0,1,Normal
